price,rooms,lat,lng,square_total,square_living,square_kitchen,ceiling,renovation,view,type_house,floor_type,built_year,energy_efficiency,playground,sportsground,foundation_type,electrical_type,electrical_entries_count,heating_type,hot_water_type,gas_type,ventilation_type,firefighting_type,drainage_type,floor_flat,floor_house,price/m2,wikipedia
6399000.0,1,55.477801,37.541234,40.0,11.0,14.5,,Косметический,Во двор,Панельный,,,,,,,,,,,,,,,1.0,5.0,159975.0,ru:Поселение Рязановское (Москва)
11300000.0,3,55.607845,37.530831,61.3,42.4,6.5,2.6,Без ремонта,Во двор,Монолитный,Железобетонные,1978.0,,Есть,Есть,,Центральное,7.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,,Внутренние водостоки,3.0,9.0,184339.3148450245,ru:Ясенево (район Москвы)
8800000.0,2,55.81388000000001,37.801215,45.0,31.8,6.0,,Косметический,Во двор,Панельный,Железобетонные,1964.0,,Отсутствует,Отсутствует,Ленточный,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Приточно-вытяжная вентиляция,,Наружные водостоки,2.0,5.0,195555.55555555556,ru:Гольяново
9200000.0,1,55.600638,37.581244,39.0,21.0,8.7,,Косметический,На улицу,Панельный,Железобетонные,1978.0,Не присвоен,Отсутствует,Отсутствует,Свайный,Центральное,2.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Приточно-вытяжная вентиляция,Пожарный кран,Внутренние водостоки,7.0,12.0,235897.4358974359,ru:Чертаново Южное
13550000.0,3,55.837454,37.405606,72.6,44.1,10.1,2.64,Косметический,Во двор,Панельный,Железобетонные,1993.0,,,,,,,,,,,,,8.0,17.0,186639.1184573003,ru:Южное Тушино
20500000.0,2,55.679849,37.657314,62.0,38.0,13.0,2.74,Дизайнерский,На улицу и двор,Панельный,Железобетонные,2003.0,A,Есть,Отсутствует,Свайный,Центральное,3.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Отсутствует,Вытяжная вентиляция,Автоматическая,Внутренние водостоки,11.0,17.0,330645.1612903226,ru:Нагатино-Садовники
58950000.0,3,55.652903,37.473033,131.6,85.0,13.7,3.0,Евроремонт,Во двор,Монолитный,Железобетонные,2008.0,,Есть,Отсутствует,,Центральное,10.0,"Автономная котельная (крышная, встроенно-пристроенная)",Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,Автоматическая,,20.0,35.0,447948.3282674772,ru:Тропарёво-Никулино
10400000.0,2,55.59336,37.535323,47.0,27.0,7.0,2.64,Евроремонт,На улицу,Панельный,Железобетонные,1977.0,E,Есть,Есть,,Центральное,5.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Приточно-вытяжная вентиляция,,Внутренние водостоки,4.0,9.0,221276.59574468085,ru:Ясенево (район Москвы)
111142272.0,3,55.732514,37.619549,103.2,,,3.4,Без ремонта,,Монолитно кирпичный,,,,,,,,,,,,,,,4.0,6.0,1076960.0,ru:Якиманка (район Москвы)
49000000.0,3,55.81053100000001,37.653658,148.0,70.0,40.0,3.2,Без ремонта,Во двор,Монолитный,,2018.0,B,Есть,Отсутствует,Бетонные столбы,Центральное,2.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Отсутствует,Вытяжная вентиляция,Пожарные гидранты,Наружные водостоки,11.0,16.0,331081.08108108107,ru:Алексеевский район (Москва)
9500000.0,2,55.699421,37.75686500000001,44.0,28.0,6.0,2.65,,Во двор,Блочный,Железобетонные,1960.0,Не присвоен,Есть,Отсутствует,,Центральное,1.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Вытяжная вентиляция,,Наружные водостоки,4.0,5.0,215909.0909090909,ru:Кузьминки (район Москвы)
20000000.0,3,55.794679,37.586041,75.0,53.0,9.0,2.7,Евроремонт,На улицу,Блочный,Железобетонные,1971.0,E,Отсутствует,Отсутствует,Свайный,Центральное,2.0,Центральное,Закрытая с приготовлением горячей воды на ЦТП,Центральное,Приточно-вытяжная вентиляция,Пожарные гидранты,Внутренние водостоки,9.0,15.0,266666.6666666667,ru:Бутырский район
17000000.0,2,55.783959,37.590003,42.0,27.0,6.0,2.64,Дизайнерский,,Блочный,Железобетонные,1966.0,,,,,,,,,,,,,7.0,12.0,404761.90476190473,ru:Тверской район (Москва)
23500000.0,3,55.698767,37.638458,82.0,39.0,15.0,3.2,Косметический,На улицу и двор,Монолитный,,,,,,,,,,,,,,,6.0,20.0,286585.3658536585,ru:Даниловский район (Москва)
